name;container;sub_category;category;base_margin
6162;Small Box;Telephones and Communication;Technology;0.59
Fellowes High-Stak® Drawer Files;Small Box;Storage & Organization;Office Supplies;0.62
Staples Premium Bright 1-Part Blank Computer Paper;Small Box;Paper;Office Supplies;0.38
14-7/8 x 11 Blue Bar Computer Printout Paper;Small Box;Paper;Office Supplies;0.37
Xerox 1954;Small Box;Paper;Office Supplies;0.4
Advantus Plastic Paper Clips;Wrap Bag;Rubber Bands;Office Supplies;0.37
Xerox 1883;Small Box;Paper;Office Supplies;0.39
Avery 482;Small Box;Labels;Office Supplies;0.38
Avery Premier Heavy-Duty Binder with Round Locking Rings;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Round Specialty Laser Printer Labels;Small Box;Labels;Office Supplies;0.38
APC 7 Outlet Network SurgeArrest Surge Protector;Small Box;Appliances;Office Supplies;0.55
Eldon® 200 Class™ Desk Accessories;Small Box;Office Furnishings;Furniture;0.53
Stanley Bostitch Contemporary Electric Pencil Sharpeners;Small Pack;Pens & Art Supplies;Office Supplies;0.57
Novimex High-Tech Fabric Mesh Task Chair;Jumbo Drum;Chairs & Chairmats;Furniture;0.78
Memo Book, 100 Message Capacity, 5 3/8” x 11”;Wrap Bag;Paper;Office Supplies;0.35
Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter;Medium Box;Appliances;Office Supplies;0.4
Laminate Occasional Tables;Large Box;Tables;Furniture;0.68
Xerox 223;Small Box;Paper;Office Supplies;0.37
Eureka The Boss® Plus 12-Amp Hard Box Upright Vacuum, Red;Small Box;Appliances;Office Supplies;0.58
"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";Small Box;Binders and Binder Accessories;Office Supplies;0.36
Panasonic KX-P3200 Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.6
Newell 332;Wrap Bag;Pens & Art Supplies;Office Supplies;0.58
Bush® Cubix Conference Tables, Fully Assembled;Jumbo Box;Tables;Furniture;0.6
i500plus;Small Box;Telephones and Communication;Technology;0.58
Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets;Small Box;Appliances;Office Supplies;0.55
Advantus Rolling Storage Box;Small Box;Storage & Organization;Office Supplies;0.58
Keytronic 105-Key Spanish Keyboard;Small Box;Computer Peripherals;Technology;0.77
Epson C82 Color Inkjet Printer;Jumbo Drum;Office Machines;Technology;0.36
Memorex 4.7GB DVD+R, 3/Pack;Small Pack;Computer Peripherals;Technology;0.42
Epson C62 Color Inkjet Printer;Jumbo Box;Office Machines;Technology;0.35
Blackstonian Pencils;Wrap Bag;Pens & Art Supplies;Office Supplies;0.57
Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray;Small Box;Envelopes;Office Supplies;0.4
Crayola Colored Pencils;Wrap Bag;Pens & Art Supplies;Office Supplies;0.52
Eldon Expressions™ Desk Accessory, Wood Photo Frame, Mahogany;Small Box;Office Furnishings;Furniture;0.56
Imation 5.2GB DVD-RAM;Small Pack;Computer Peripherals;Technology;0.5
Ibico Recycled Linen-Style Covers;Small Box;Binders and Binder Accessories;Office Supplies;0.37
UniKeep™ View Case Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.39
*Staples* Packaging Labels;Small Box;Labels;Office Supplies;0.38
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages";Wrap Bag;Paper;Office Supplies;0.4
Okidata ML520 Series Dot Matrix Printers;Jumbo Drum;Office Machines;Technology;0.56
Adams Telephone Message Books, 5 1/4” x 11”;Wrap Bag;Paper;Office Supplies;0.38
Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White;Small Box;Labels;Office Supplies;0.39
Xerox 1985;Small Box;Paper;Office Supplies;0.37
Colorific® Watercolor Pencils;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
36X48 HARDFLOOR CHAIRMAT;Medium Box;Office Furnishings;Furniture;0.78
Contemporary Wood/Metal Frame;Small Box;Office Furnishings;Furniture;0.5
Fellowes Personal Hanging Folder Files, Navy;Small Box;Storage & Organization;Office Supplies;0.57
DMI Eclipse Executive Suite Bookcases;Jumbo Box;Bookcases;Furniture;0.66
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L";Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.56
Sanford Colorific® Eraseable Coloring Pencils, 12 Count;Wrap Bag;Pens & Art Supplies;Office Supplies;0.42
Xerox 200;Small Box;Paper;Office Supplies;0.37
Acme Kleencut® Forged Steel Scissors;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.55
Sanford Uni-Blazer™ View Highlighters, Chisel Tip, Yellow;Wrap Bag;Pens & Art Supplies;Office Supplies;0.41
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases";Jumbo Box;Bookcases;Furniture;0.66
Newell 346;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Fellowes Mighty 8 Compact Surge Protector;Small Box;Appliances;Office Supplies;0.57
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";Small Box;Office Furnishings;Furniture;0.44
Tenex Antistatic Computer Chair Mats;Medium Box;Office Furnishings;Furniture;0.75
Deflect-o Glass Clear Studded Chair Mats;Medium Box;Office Furnishings;Furniture;0.63
Steel Personal Filing/Posting Tote;Small Box;Storage & Organization;Office Supplies;0.58
Xerox 1898;Small Box;Paper;Office Supplies;0.37
Logitech Cordless Keyboard;Small Box;Computer Peripherals;Technology;0.49
Belkin Premiere Surge Master II 8-outlet surge protector;Small Box;Appliances;Office Supplies;0.56
3395;Small Box;Telephones and Communication;Technology;0.58
Maxell DVD-RAM Discs;Small Pack;Computer Peripherals;Technology;0.42
Hon 5100 Series Wood Tables;Large Box;Tables;Furniture;0.67
SimpliFile™ Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;Small Box;Storage & Organization;Office Supplies;0.57
Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black;Small Box;Storage & Organization;Office Supplies;0.81
Fuji 5.2GB DVD-RAM;Small Pack;Computer Peripherals;Technology;0.55
Bretford CR8500 Series Meeting Room Furniture;Jumbo Box;Tables;Furniture;0.6
Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors;Jumbo Box;Bookcases;Furniture;0.55
Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color;Wrap Bag;Pens & Art Supplies;Office Supplies;0.51
O'Sullivan 4-Shelf Bookcase in Odessa Pine;Jumbo Box;Bookcases;Furniture;0.68
Quality Park Security Envelopes;Small Box;Envelopes;Office Supplies;0.38
Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.37
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages";Wrap Bag;Paper;Office Supplies;0.36
Wilson Jones Custom Binder Spines & Labels;Small Box;Binders and Binder Accessories;Office Supplies;0.36
Global Adaptabilities™ Conference Tables;Jumbo Box;Tables;Furniture;0.78
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty™ Dirt Cup;Small Box;Appliances;Office Supplies;0.59
Desktop 3-Pocket Hot File®;Small Box;Storage & Organization;Office Supplies;0.59
Acco Perma® 3000 Stacking Storage Drawers;Small Box;Storage & Organization;Office Supplies;0.66
Avery Round Ring Poly Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.36
Xerox 1980;Small Box;Paper;Office Supplies;0.4
Accessory17;Wrap Bag;Telephones and Communication;Technology;0.82
Xerox 1941;Small Box;Paper;Office Supplies;0.37
Xerox 1934;Small Box;Paper;Office Supplies;0.36
Avery Hi-Liter® EverBold™ Pen Style Fluorescent Highlighters, 4/Pack;Wrap Bag;Pens & Art Supplies;Office Supplies;0.45
Novimex Swivel Fabric Task Chair;Jumbo Drum;Chairs & Chairmats;Furniture;0.74
3M Hangers With Command Adhesive;Wrap Bag;Office Furnishings;Furniture;0.44
Fellowes Basic 104-Key Keyboard, Platinum;Small Box;Computer Peripherals;Technology;0.65
V2397;Small Box;Telephones and Communication;Technology;0.58
Xerox 1998;Small Box;Paper;Office Supplies;0.37
Grip Seal Envelopes;Small Box;Envelopes;Office Supplies;0.38
Honeywell Quietcare HEPA Air Cleaner;Medium Box;Appliances;Office Supplies;0.52
Binding Machine Supplies;Small Box;Binders and Binder Accessories;Office Supplies;0.37
DIXON Ticonderoga® Erasable Checking Pencils;Wrap Bag;Pens & Art Supplies;Office Supplies;0.46
GBC ProClick Punch Binding System;Small Box;Binders and Binder Accessories;Office Supplies;0.36
Accessory12;Small Box;Telephones and Communication;Technology;0.35
Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;Large Box;Appliances;Office Supplies;0.56
C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack;Small Box;Binders and Binder Accessories;Office Supplies;0.38
Xerox 221;Small Box;Paper;Office Supplies;0.37
Xerox 1962;Small Box;Paper;Office Supplies;0.4
Security-Tint Envelopes;Small Box;Envelopes;Office Supplies;0.36
Memorex 'Cool' 80 Minute CD-R Spindle, 25/Pack;Small Pack;Computer Peripherals;Technology;0.46
Hammermill Color Copier Paper (28Lb. and 96 Bright);Small Box;Paper;Office Supplies;0.4
Sharp 1540cs Digital Laser Copier;Jumbo Drum;Copiers and Fax;Technology;0.35
Xerox 229;Small Box;Paper;Office Supplies;0.37
Eldon Image Series Black Desk Accessories;Small Box;Office Furnishings;Furniture;0.49
Panasonic KX-P3200 Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.57
BOSTON® Ranger® #55 Pencil Sharpener, Black;Small Box;Pens & Art Supplies;Office Supplies;0.56
Fellowes Stor/Drawer® Steel Plus™ Storage Drawers;Small Box;Storage & Organization;Office Supplies;0.79
Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center;Small Box;Appliances;Office Supplies;0.56
Premium Transparent Presentation Covers by GBC;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Acme® Design Stainless Steel Bent Scissors;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.58
Astroparche® Fine Business Paper;Small Box;Paper;Office Supplies;0.37
Acco Keyboard-In-A-Box®;Small Box;Computer Peripherals;Technology;0.78
Belkin OmniView SE Rackmount Kit;Large Box;Storage & Organization;Office Supplies;0.85
6185;Small Box;Telephones and Communication;Technology;0.58
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock";Small Pack;Office Furnishings;Furniture;0.51
Newell 329;Wrap Bag;Pens & Art Supplies;Office Supplies;0.59
Xerox 1935;Small Box;Paper;Office Supplies;0.39
Ibico Laser Imprintable Binding System Covers;Small Box;Binders and Binder Accessories;Office Supplies;0.39
5190;Small Box;Telephones and Communication;Technology;0.59
Newell 307;Wrap Bag;Pens & Art Supplies;Office Supplies;0.57
Avery Durable Poly Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.39
"Executive Impressions 13"" Clairmont Wall Clock";Small Pack;Office Furnishings;Furniture;0.44
Tennsco Industrial Shelving;Large Box;Storage & Organization;Office Supplies;0.83
Avery 496;Small Box;Labels;Office Supplies;0.37
Avery Hi-Liter® Fluorescent Desk Style Markers;Wrap Bag;Pens & Art Supplies;Office Supplies;0.48
Xerox 1951;Small Box;Paper;Office Supplies;0.4
Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;Jumbo Drum;Chairs & Chairmats;Furniture;0.55
Xerox 1897;Small Box;Paper;Office Supplies;0.36
Acme® Elite Stainless Steel Scissors;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.59
Xerox 1896;Small Box;Paper;Office Supplies;0.4
Acco Clips to Go™ Binder Clips, 24 Clips in Two Sizes;Wrap Bag;Rubber Bands;Office Supplies;0.38
Plastic Binding Combs;Small Box;Binders and Binder Accessories;Office Supplies;0.38
4009® Highlighters by Sanford;Wrap Bag;Pens & Art Supplies;Office Supplies;0.52
StarTAC 7797;Small Box;Telephones and Communication;Technology;0.55
SAFCO Boltless Steel Shelving;Large Box;Storage & Organization;Office Supplies;NULL
Staples Vinyl Coated Paper Clips;Wrap Bag;Rubber Bands;Office Supplies;0.39
